pokedex_number,name,type1,type2,abilities,classification,capture_rate,experience_growth,percentage_male,height_m,weight_kg,base_happiness,base_egg_steps,generation,is_legendary,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,45,1059860,88.1,0.7,6.9,70.0,5120,1,0,318,45,49,49,65,65,45,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
2,Ivysaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,45,1059860,88.1,1.0,13.0,70.0,5120,1,0,405,60,62,63,80,80,60,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
3,Venusaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,45,1059860,88.1,2.0,100.0,70.0,5120,1,0,625,80,100,123,122,120,80,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
4,Charmander,fire,,"['Blaze', 'Solar Power']",Lizard Pokémon,45,1059860,88.1,0.6,8.5,70.0,5120,1,0,309,39,52,43,60,50,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
5,Charmeleon,fire,,"['Blaze', 'Solar Power']",Flame Pokémon,45,1059860,88.1,1.1,19.0,70.0,5120,1,0,405,58,64,58,80,65,80,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
6,Charizard,fire,flying,"['Blaze', 'Solar Power']",Flame Pokémon,45,1059860,88.1,1.7,90.5,70.0,5120,1,0,634,78,104,78,159,115,100,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
7,Squirtle,water,,"['Torrent', 'Rain Dish']",Tiny Turtle Pokémon,45,1059860,88.1,0.5,9.0,70.0,5120,1,0,314,44,48,65,50,64,43,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
8,Wartortle,water,,"['Torrent', 'Rain Dish']",Turtle Pokémon,45,1059860,88.1,1.0,22.5,70.0,5120,1,0,405,59,63,80,65,80,58,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
9,Blastoise,water,,"['Torrent', 'Rain Dish']",Shellfish Pokémon,45,1059860,88.1,1.6,85.5,70.0,5120,1,0,630,79,103,120,135,115,78,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
10,Caterpie,bug,,"['Shield Dust', 'Run Away']",Worm Pokémon,255,1000000,50.0,0.3,2.9,70.0,3840,1,0,195,45,30,35,20,20,45,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
11,Metapod,bug,,['Shed Skin'],Cocoon Pokémon,120,1000000,50.0,0.7,9.9,70.0,3840,1,0,205,50,20,55,25,25,30,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
12,Butterfree,bug,flying,"['Compoundeyes', 'Tinted Lens']",Butterfly Pokémon,45,1000000,50.0,1.1,32.0,70.0,3840,1,0,395,60,45,50,90,80,70,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
13,Weedle,bug,poison,"['Shield Dust', 'Run Away']",Hairy Pokémon,255,1000000,50.0,0.3,3.2,70.0,3840,1,0,195,40,35,30,20,20,50,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
14,Kakuna,bug,poison,['Shed Skin'],Cocoon Pokémon,120,1000000,50.0,0.6,10.0,70.0,3840,1,0,205,45,25,50,25,25,35,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
15,Beedrill,bug,poison,"['Swarm', 'Sniper']",Poison Bee Pokémon,45,1000000,50.0,1.0,29.5,70.0,3840,1,0,495,65,150,40,15,80,145,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
16,Pidgey,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Tiny Bird Pokémon,255,1059860,50.0,0.3,1.8,70.0,3840,1,0,251,40,45,40,35,35,56,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
